"Mass"	"Intensity"
"421"	57.46	0
"422"	57.52	0
"423"	57.59	2.66581
"424"	57.65	0
"425"	57.71	0
"426"	57.77	0
"427"	57.84	2.66581
"428"	57.9	0
"429"	57.96	0
"430"	58.02	0
"431"	58.09	2.66581
"432"	58.15	0
"433"	58.21	0
"434"	58.27	0
"435"	58.34	0
"436"	58.4	2.66581
"437"	58.46	0
"438"	58.52	0
"439"	58.59	0
"440"	58.65	0
"441"	58.71	0
"442"	58.77	0
"443"	58.84	0
"444"	58.9	2.66581
"445"	58.96	0
"446"	59.02	2.66581
"447"	59.09	0
"448"	59.15	0
"449"	59.21	0
"450"	59.27	0
"451"	59.34	0
"452"	59.4	2.66581
"453"	59.46	0
"454"	59.52	0
"455"	59.59	0
"456"	59.65	0
"457"	59.71	0
"458"	59.77	0
"459"	59.84	0
"460"	59.9	0
"461"	59.96	0
"462"	60.02	0
"463"	60.09	0
"464"	60.15	0
"465"	60.21	0
"466"	60.27	0
"467"	60.34	0
"468"	60.4	0
"469"	60.46	0
"470"	60.52	0
"471"	60.59	0
"472"	60.65	0
"473"	60.71	0
"474"	60.77	0
"475"	60.84	0
"476"	60.9	0
"477"	60.96	0
"478"	61.02	0
"479"	61.09	0
"480"	61.15	0
"481"	61.21	0
"482"	61.27	0
"483"	61.34	0
"484"	61.4	0
"485"	61.46	0
"486"	61.52	0
"487"	61.59	0
"488"	61.65	0
"489"	61.71	0
"490"	61.77	5.33163
"491"	61.84	0
"492"	61.9	0
"493"	61.96	0
"494"	62.02	0
"495"	62.09	0
"496"	62.15	0
"497"	62.21	0
"498"	62.27	0
"499"	62.34	0
"500"	62.4	0
"501"	62.46	2.66581
"502"	62.52	2.66581
"503"	62.59	0
"504"	62.65	0
"505"	62.71	2.66581
"506"	62.77	2.66581
"507"	62.84	2.66581
"508"	62.9	5.33163
"509"	62.96	18.6607
"510"	63.02	10.6633
"511"	63.09	13.3291
"512"	63.15	10.6633
"513"	63.21	5.33163
"514"	63.27	2.66581
"515"	63.34	2.66581
"516"	63.4	5.33163
"517"	63.46	7.99744
"518"	63.52	18.6607
"519"	63.59	13.3291
"520"	63.65	7.99744
"521"	63.71	15.9949
"522"	63.77	2.66581
"523"	63.84	7.99744
"524"	63.9	13.3291
"525"	63.96	7.99744
"526"	64.02	15.9949
"527"	64.09	5.33163
"528"	64.15	15.9949
"529"	64.21	26.6581
"530"	64.27	15.9949
"531"	64.34	7.99744
"532"	64.4	15.9949
"533"	64.46	2.66581
"534"	64.52	18.6607
"535"	64.59	7.99744
"536"	64.65	5.33163
"537"	64.71	5.33163
"538"	64.77	7.99744
"539"	64.84	10.6633
"540"	64.9	13.3291
"541"	64.96	10.6633
"542"	65.02	10.6633
"543"	65.09	15.9949
"544"	65.15	10.6633
"545"	65.21	7.99744
"546"	65.27	13.3291
"547"	65.34	7.99744
"548"	65.4	15.9949
"549"	65.46	13.3291
"550"	65.52	13.3291
"551"	65.59	7.99744
"552"	65.65	7.99744
"553"	65.71	7.99744
"554"	65.77	7.99744
"555"	65.84	5.33163
"556"	65.9	5.33163
"557"	65.96	18.6607
"558"	66.02	2.66581
"559"	66.09	7.99744
"560"	66.15	7.99744
"561"	66.21	2.66581
"562"	66.27	15.9949
"563"	66.34	15.9949
"564"	66.4	0
"565"	66.46	13.3291
"566"	66.52	5.33163
"567"	66.59	5.33163
"568"	66.65	7.99744
"569"	66.71	15.9949
"570"	66.77	7.99744
"571"	66.84	2.66581
"572"	66.9	2.66581
"573"	66.96	5.33163
"574"	67.02	2.66581
"575"	67.09	10.6633
"576"	67.15	2.66581
"577"	67.21	7.99744
"578"	67.27	0
"579"	67.34	2.66581
"580"	67.4	5.33163
"581"	67.46	5.33163
"582"	67.52	0
"583"	67.59	7.99744
"584"	67.65	2.66581
"585"	67.71	2.66581
"586"	67.77	0
"587"	67.84	13.3291
"588"	67.9	2.66581
"589"	67.96	0
"590"	68.02	2.66581
"591"	68.09	2.66581
"592"	68.15	0
"593"	68.21	0
"594"	68.27	0
"595"	68.34	0
"596"	68.4	0
"597"	68.46	0
"598"	68.52	0
"599"	68.59	0
"600"	68.65	0
"601"	68.71	0
"602"	68.77	0
"603"	68.84	0
"604"	68.9	2.66581
"605"	68.96	0
"606"	69.02	0
"607"	69.09	0
"608"	69.15	2.66581
"609"	69.21	0
"610"	69.27	0
"611"	69.34	0
"612"	69.4	0
"613"	69.46	0
"614"	69.52	0
"615"	69.59	0
"616"	69.65	0
"617"	69.71	0
"618"	69.77	0
"619"	69.84	0
"620"	69.9	0
"621"	69.96	0
"622"	70.02	0
"623"	70.09	0
"624"	70.15	0
"625"	70.21	0
"626"	70.27	0
"627"	70.34	0
"628"	70.4	0
"629"	70.46	0
"630"	70.52	0
"631"	70.59	0
"632"	70.65	2.66581
"633"	70.71	0
"634"	70.77	0
"635"	70.84	0
"636"	70.9	0
"637"	70.96	0
"638"	71.02	0
"639"	71.09	0
"640"	71.15	0
"641"	71.21	0
"642"	71.27	0
"643"	71.34	0
"644"	71.4	0
"645"	71.46	0
"646"	71.52	0
"647"	71.59	0
"648"	71.65	0
"649"	71.71	0
"650"	71.77	0
"651"	71.84	0
"652"	71.9	0
"653"	71.96	0
"654"	72.02	0
"655"	72.09	2.66581
"656"	72.15	0
"657"	72.21	0
"658"	72.27	0
"659"	72.34	0
"660"	72.4	0
"661"	72.46	0
"662"	72.52	0
"663"	72.59	0
"664"	72.65	0
"665"	72.71	0
"666"	72.77	0
"667"	72.84	0
"668"	72.9	0
"669"	72.96	0
"670"	73.02	0
