""	"ScanData"	"X1"
"391"	34.38	7.99744
"392"	34.44	7.99744
"393"	34.5	0
"394"	34.56	0
"395"	34.63	2.66581
"396"	34.69	2.66581
"397"	34.75	0
"398"	34.81	0
"399"	34.88	0
"400"	34.94	2.66581
"401"	35	2.66581
"402"	35.06	2.66581
"403"	35.13	0
"404"	35.19	0
"405"	35.25	0
"406"	35.31	2.66581
"407"	35.38	7.99744
"408"	35.44	2.66581
"409"	35.5	2.66581
"410"	35.56	5.33163
"411"	35.63	5.33163
"412"	35.69	5.33163
"413"	35.75	2.66581
"414"	35.81	0
"415"	35.88	0
"416"	35.94	2.66581
"417"	36	0
"418"	36.06	0
"419"	36.13	0
"420"	36.19	0
"421"	36.25	0
"422"	36.31	0
"423"	36.38	2.66581
"424"	36.44	0
"425"	36.5	0
"426"	36.56	0
"427"	36.63	2.66581
"428"	36.69	0
"429"	36.75	0
"430"	36.81	0
"431"	36.88	2.66581
"432"	36.94	0
"433"	37	0
"434"	37.06	0
"435"	37.13	0
"436"	37.19	2.66581
"437"	37.25	0
"438"	37.31	0
"439"	37.38	0
"440"	37.44	0
"441"	37.5	0
"442"	37.56	0
"443"	37.63	0
"444"	37.69	2.66581
"445"	37.75	0
"446"	37.81	2.66581
"447"	37.88	0
"448"	37.94	0
"449"	38	0
"450"	38.06	0
"451"	38.13	0
"452"	38.19	2.66581
"453"	38.25	0
"454"	38.31	0
"455"	38.38	0
"456"	38.44	0
"457"	38.5	0
"458"	38.56	0
"459"	38.63	0
"460"	38.69	0
"461"	38.75	0
"462"	38.81	0
"463"	38.88	0
"464"	38.94	0
"465"	39	0
"466"	39.06	0
"467"	39.13	0
"468"	39.19	0
"469"	39.25	0
"470"	39.31	0
"471"	39.38	0
"472"	39.44	0
"473"	39.5	0
"474"	39.56	0
"475"	39.63	0
"476"	39.69	0
"477"	39.75	0
"478"	39.81	0
"479"	39.88	0
"480"	39.94	0
"481"	40	0
"482"	40.06	0
"483"	40.13	0
"484"	40.19	0
"485"	40.25	0
"486"	40.31	0
"487"	40.38	0
"488"	40.44	0
"489"	40.5	0
"490"	40.56	5.33163
"491"	40.63	0
"492"	40.69	0
"493"	40.75	0
"494"	40.81	0
"495"	40.88	0
"496"	40.94	0
"497"	41	0
"498"	41.06	0
"499"	41.13	0
"500"	41.19	0
"501"	41.25	2.66581
"502"	41.31	2.66581
"503"	41.38	0
"504"	41.44	0
"505"	41.5	2.66581
"506"	41.56	2.66581
"507"	41.63	2.66581
"508"	41.69	5.33163
"509"	41.75	18.6607
"510"	41.81	10.6633
"511"	41.88	13.3291
"512"	41.94	10.6633
"513"	42	5.33163
"514"	42.06	2.66581
"515"	42.13	2.66581
"516"	42.19	5.33163
"517"	42.25	7.99744
"518"	42.31	18.6607
"519"	42.38	13.3291
"520"	42.44	7.99744
"521"	42.5	15.9949
"522"	42.56	2.66581
"523"	42.63	7.99744
"524"	42.69	13.3291
"525"	42.75	7.99744
"526"	42.81	15.9949
"527"	42.88	5.33163
"528"	42.94	15.9949
"529"	43	26.6581
"530"	43.06	15.9949
"531"	43.13	7.99744
"532"	43.19	15.9949
"533"	43.25	2.66581
"534"	43.31	18.6607
"535"	43.38	7.99744
"536"	43.44	5.33163
"537"	43.5	5.33163
"538"	43.56	7.99744
"539"	43.63	10.6633
"540"	43.69	13.3291
"541"	43.75	10.6633
"542"	43.81	10.6633
"543"	43.88	15.9949
"544"	43.94	10.6633
"545"	44	7.99744
"546"	44.06	13.3291
"547"	44.13	7.99744
"548"	44.19	15.9949
"549"	44.25	13.3291
"550"	44.31	13.3291
"551"	44.38	7.99744
"552"	44.44	7.99744
"553"	44.5	7.99744
"554"	44.56	7.99744
"555"	44.63	5.33163
"556"	44.69	5.33163
"557"	44.75	18.6607
"558"	44.81	2.66581
"559"	44.88	7.99744
"560"	44.94	7.99744
"561"	45	2.66581
"562"	45.06	15.9949
"563"	45.13	15.9949
"564"	45.19	0
